Customer Reference ID,Item Purchased,Purchase Amount (USD),Date Purchase,Payment Method,Review Rating
3961,Gloves,162.0,12/5/2022,Credit Card,2 to 3
4077,Camisole,18.0,2/16/2023,Cash,2 to 3
4115,Sandals,190.0,2/17/2023,Cash,2 to 3
3968,Wallet,126.0,11/17/2022,Credit Card,4 to 5
4019,Onesie,,12/23/2022,Credit Card,No Rating
3990,Wallet,77.0,7/25/2023,Credit Card,2 to 3
3960,Shorts,170.0,10/31/2022,Cash,1 to 2
4001,Wallet,60.0,5/17/2023,Cash,2 to 3
4118,Blouse,149.0,3/21/2023,Cash,4 to 5
3969,Polo Shirt,48.0,8/4/2023,Cash,3 to 4
4035,Handbag,46.0,4/21/2023,Credit Card,4 to 5
3981,Camisole,,3/11/2023,Credit Card,1 to 2
4073,Kimono,,8/11/2023,Credit Card,1 to 2
4113,Hoodie,155.0,8/5/2023,Credit Card,1 to 2
4000,Tank Top,122.0,8/12/2023,Cash,3 to 4
4108,Trousers,,12/9/2022,Cash,1 to 2
3973,Gloves,189.0,10/30/2022,Credit Card,2 to 3
3984,Sunglasses,79.0,12/1/2022,Cash,3 to 4
3986,Jumpsuit,136.0,12/14/2022,Cash,No Rating
4084,Loafers,163.0,2/3/2023,Credit Card,3 to 4
4109,Jacket,,6/13/2023,Credit Card,0 to 1
4114,Backpack,92.0,4/25/2023,Credit Card,2 to 3
4013,Trousers,16.0,1/11/2023,Credit Card,1 to 2
3973,Pajamas,,11/9/2022,Credit Card,2 to 3
4008,Romper,157.0,6/5/2023,Credit Card,1 to 2
4066,Poncho,15.0,5/25/2023,Cash,No Rating
4043,Poncho,182.0,3/9/2023,Cash,2 to 3
4059,Camisole,157.0,7/30/2023,Cash,2 to 3
4040,Pajamas,,4/10/2023,Credit Card,4 to 5
3987,Backpack,130.0,2/21/2023,Credit Card,2 to 3
4104,Backpack,123.0,12/22/2022,Credit Card,3 to 4
4096,Sun Hat,56.0,11/4/2022,Cash,4 to 5
3992,Belt,121.0,10/9/2022,Credit Card,4 to 5
4039,Gloves,135.0,4/16/2023,Credit Card,2 to 3
4011,Gloves,130.0,1/3/2023,Cash,4 to 5
3968,Sandals,95.0,8/2/2023,Credit Card,2 to 3
4108,Shorts,36.0,2/16/2023,Cash,No Rating
4001,Cardigan,94.0,8/26/2023,Credit Card,4 to 5
4042,Hoodie,136.0,11/18/2022,Credit Card,4 to 5
3973,Shorts,112.0,7/18/2023,Cash,1 to 2
3987,Hoodie,150.0,1/14/2023,Cash,3 to 4
4027,Trousers,,5/19/2023,Cash,2 to 3
3993,Poncho,,3/26/2023,Cash,4 to 5
4063,Slippers,39.0,8/16/2023,Credit Card,4 to 5
4000,Socks,113.0,11/21/2022,Cash,2 to 3
4051,Poncho,10.0,7/29/2023,Cash,0 to 1
4098,Shorts,148.0,12/8/2022,Credit Card,4 to 5
3999,Sunglasses,23.0,1/2/2023,Cash,1 to 2
4069,Swimsuit,,4/22/2023,Credit Card,1 to 2
4019,Blouse,137.0,5/18/2023,Cash,No Rating
4105,Leggings,23.0,11/9/2022,Credit Card,3 to 4
3967,Pajamas,150.0,9/26/2023,Credit Card,2 to 3
3991,Sunglasses,,1/27/2023,Cash,2 to 3
3982,Poncho,188.0,11/22/2022,Credit Card,3 to 4
4118,T-shirt,17.0,6/5/2023,Cash,4 to 5
4113,Blazer,165.0,4/10/2023,Cash,4 to 5
4053,Sweater,191.0,1/28/2023,Credit Card,4 to 5
3997,Slippers,,4/25/2023,Credit Card,No Rating
3961,Polo Shirt,151.0,12/6/2022,Credit Card,4 to 5
4081,Socks,67.0,5/6/2023,Credit Card,4 to 5
3977,Pajamas,39.0,2/19/2023,Credit Card,4 to 5
3958,Belt,40.0,6/1/2023,Cash,2 to 3
3958,Leggings,49.0,3/14/2023,Cash,1 to 2
4002,Jumpsuit,193.0,12/18/2022,Credit Card,3 to 4
3979,Swimsuit,190.0,9/8/2023,Cash,1 to 2
4108,Umbrella,133.0,6/19/2023,Credit Card,4 to 5
4029,Blouse,72.0,8/20/2023,Credit Card,2 to 3
4063,Flannel Shirt,47.0,4/24/2023,Credit Card,3 to 4
4078,Wallet,163.0,2/7/2023,Credit Card,4 to 5
3989,Loafers,44.0,4/16/2023,Cash,1 to 2
4009,Slippers,80.0,11/23/2022,Cash,1 to 2
3993,Gloves,116.0,12/13/2022,Credit Card,2 to 3
4120,Skirt,139.0,9/26/2023,Credit Card,2 to 3
4026,Vest,10.0,10/15/2022,Credit Card,2 to 3
4090,T-shirt,86.0,8/15/2023,Cash,1 to 2
4072,Polo Shirt,158.0,5/7/2023,Credit Card,2 to 3
4062,Overalls,135.0,12/2/2022,Cash,3 to 4
4018,Leggings,124.0,5/19/2023,Credit Card,2 to 3
4001,Pants,98.0,1/27/2023,Credit Card,No Rating
4113,Cardigan,149.0,10/15/2022,Cash,1 to 2
3966,Gloves,92.0,10/4/2022,Credit Card,4 to 5
4109,Kimono,188.0,7/21/2023,Credit Card,No Rating
4003,Umbrella,108.0,8/1/2023,Cash,3 to 4
4084,Overalls,115.0,12/22/2022,Credit Card,2 to 3
4113,Pants,,9/4/2023,Cash,4 to 5
3979,Loafers,190.0,7/1/2023,Cash,4 to 5
4117,Cardigan,107.0,2/16/2023,Credit Card,1 to 2
4034,Pants,179.0,3/12/2023,Cash,3 to 4
4046,Poncho,176.0,12/11/2022,Cash,2 to 3
4064,Wallet,136.0,2/17/2023,Credit Card,2 to 3
3958,Tank Top,42.0,11/2/2022,Credit Card,3 to 4
4099,Dress,161.0,1/7/2023,Cash,4 to 5
4017,Loafers,35.0,12/26/2022,Cash,3 to 4
4006,Leggings,122.0,9/28/2023,Credit Card,3 to 4
3987,Blazer,,11/25/2022,Credit Card,2 to 3
4092,Trench Coat,13.0,11/3/2022,Credit Card,3 to 4
3981,Tank Top,114.0,4/1/2023,Cash,4 to 5
4115,Shorts,49.0,9/20/2023,Cash,2 to 3
4049,Sneakers,,1/27/2023,Credit Card,No Rating
4095,Romper,77.0,3/20/2023,Credit Card,1 to 2
4086,Sunglasses,187.0,4/1/2023,Cash,2 to 3
4013,Onesie,30.0,10/7/2022,Cash,3 to 4
4075,Handbag,182.0,3/13/2023,Credit Card,2 to 3
4117,Scarf,107.0,11/19/2022,Credit Card,4 to 5
4010,Kimono,170.0,2/17/2023,Cash,1 to 2
4027,Cardigan,134.0,1/17/2023,Cash,1 to 2
3970,Romper,19.0,12/12/2022,Cash,3 to 4
4006,Pajamas,70.0,11/22/2022,Cash,2 to 3
3985,Sweater,83.0,7/26/2023,Credit Card,No Rating
3995,Trousers,33.0,8/25/2023,Credit Card,1 to 2
4078,Pants,35.0,11/24/2022,Cash,No Rating
4084,Romper,190.0,3/4/2023,Cash,No Rating
4002,Scarf,123.0,1/31/2023,Credit Card,3 to 4
3997,Camisole,,9/8/2023,Credit Card,2 to 3
3968,Gloves,17.0,10/27/2022,Credit Card,3 to 4
3970,Tank Top,,6/23/2023,Cash,4 to 5
4122,Poncho,85.0,5/16/2023,Cash,3 to 4
4050,Sweater,120.0,6/7/2023,Cash,2 to 3
4029,Jumpsuit,,7/31/2023,Credit Card,No Rating
4010,Hat,154.0,5/26/2023,Credit Card,1 to 2
4068,Kimono,56.0,8/24/2023,Credit Card,3 to 4
4021,Camisole,,12/12/2022,Cash,2 to 3
4042,Vest,,2/12/2023,Cash,1 to 2
4114,Blazer,168.0,5/28/2023,Cash,3 to 4
4073,Wallet,137.0,8/7/2023,Cash,1 to 2
3968,Coat,46.0,12/5/2022,Credit Card,1 to 2
3983,Jeans,173.0,4/11/2023,Cash,4 to 5
3970,Sun Hat,75.0,9/21/2023,Cash,2 to 3
4094,Vest,129.0,2/7/2023,Credit Card,1 to 2
4002,Trousers,183.0,12/8/2022,Credit Card,2 to 3
3997,Belt,28.0,12/19/2022,Credit Card,4 to 5
3964,Umbrella,98.0,11/18/2022,Cash,4 to 5
4081,Onesie,86.0,6/15/2023,Credit Card,2 to 3
4088,Raincoat,118.0,7/8/2023,Credit Card,2 to 3
3986,Tunic,126.0,1/30/2023,Cash,4 to 5
3975,Vest,60.0,9/29/2023,Credit Card,3 to 4
4017,Vest,133.0,2/9/2023,Cash,4 to 5
4070,Jacket,,8/19/2023,Cash,2 to 3
4108,Flannel Shirt,101.0,9/12/2023,Cash,1 to 2
4105,Camisole,189.0,3/15/2023,Credit Card,1 to 2
4040,Cardigan,178.0,9/25/2023,Cash,3 to 4
4064,Cardigan,12.0,7/5/2023,Credit Card,2 to 3
4007,Tank Top,185.0,11/27/2022,Cash,1 to 2
4040,Socks,22.0,7/31/2023,Credit Card,1 to 2
4015,Tank Top,200.0,1/2/2023,Cash,3 to 4
3985,Sun Hat,83.0,10/5/2022,Cash,3 to 4
4040,Vest,68.0,3/5/2023,Credit Card,2 to 3
4015,Skirt,100.0,7/6/2023,Credit Card,4 to 5
3982,Blouse,58.0,6/6/2023,Credit Card,No Rating
4017,Leggings,183.0,6/11/2023,Credit Card,2 to 3
4062,Tunic,178.0,10/23/2022,Credit Card,2 to 3
4008,Slippers,45.0,5/10/2023,Credit Card,1 to 2
4053,Sweater,170.0,6/11/2023,Cash,3 to 4
4013,Romper,89.0,8/22/2023,Cash,1 to 2
3975,Blazer,18.0,4/15/2023,Credit Card,4 to 5
4077,Overalls,197.0,7/23/2023,Credit Card,3 to 4
4106,Backpack,,1/11/2023,Credit Card,1 to 2
4081,Coat,93.0,1/16/2023,Credit Card,2 to 3
3970,Sunglasses,54.0,1/30/2023,Credit Card,2 to 3
4068,Blouse,148.0,12/28/2022,Cash,1 to 2
3994,Bowtie,103.0,7/30/2023,Credit Card,1 to 2
4012,Tank Top,79.0,7/30/2023,Cash,2 to 3
4113,Onesie,75.0,7/14/2023,Credit Card,1 to 2
4073,Cardigan,133.0,5/10/2023,Credit Card,3 to 4
4002,Pants,85.0,4/1/2023,Cash,1 to 2
4056,Scarf,96.0,11/19/2022,Cash,1 to 2
4052,Scarf,129.0,4/3/2023,Credit Card,4 to 5
3991,Poncho,46.0,8/14/2023,Credit Card,No Rating
4074,Socks,67.0,10/31/2022,Credit Card,4 to 5
4006,Poncho,195.0,12/25/2022,Credit Card,1 to 2
4118,Backpack,111.0,3/25/2023,Credit Card,4 to 5
4048,T-shirt,152.0,5/29/2023,Cash,2 to 3
4026,Swimsuit,111.0,7/6/2023,Cash,3 to 4
4008,Camisole,,9/7/2023,Cash,3 to 4
4042,Sunglasses,126.0,2/27/2023,Credit Card,2 to 3
3989,Skirt,182.0,5/11/2023,Credit Card,4 to 5
3965,Umbrella,107.0,2/19/2023,Credit Card,3 to 4
4102,Pants,105.0,10/31/2022,Cash,3 to 4
3972,Pajamas,,6/25/2023,Cash,4 to 5
4028,Belt,16.0,3/21/2023,Cash,2 to 3
3991,Umbrella,153.0,8/23/2023,Cash,2 to 3
3985,Coat,166.0,6/16/2023,Cash,1 to 2
4076,Sweater,26.0,4/3/2023,Cash,3 to 4
4074,Skirt,128.0,6/28/2023,Credit Card,2 to 3
4064,Raincoat,87.0,6/30/2023,Credit Card,4 to 5
4000,Onesie,39.0,1/8/2023,Credit Card,3 to 4
4044,Hat,,7/6/2023,Cash,2 to 3
4013,Sweater,87.0,12/28/2022,Cash,3 to 4
4032,Shorts,39.0,3/15/2023,Credit Card,3 to 4
4111,Trench Coat,,9/25/2023,Cash,3 to 4
3997,Backpack,44.0,5/13/2023,Credit Card,4 to 5
4120,Trousers,104.0,9/30/2023,Credit Card,1 to 2
4113,Slippers,200.0,6/3/2023,Credit Card,2 to 3
4000,Belt,148.0,12/10/2022,Cash,No Rating
4104,Pants,200.0,4/27/2023,Credit Card,3 to 4
4098,Handbag,116.0,12/29/2022,Credit Card,3 to 4
4015,Camisole,135.0,10/11/2022,Credit Card,4 to 5
3979,Vest,81.0,6/19/2023,Cash,1 to 2
4062,Boots,,2/15/2023,Cash,4 to 5
4090,Dress,123.0,4/23/2023,Cash,4 to 5
4082,Shorts,70.0,6/5/2023,Credit Card,2 to 3
4012,Boots,35.0,12/5/2022,Credit Card,4 to 5
4108,Vest,104.0,9/4/2023,Cash,2 to 3
4078,Kimono,175.0,7/28/2023,Cash,3 to 4
4075,Blazer,111.0,12/27/2022,Cash,4 to 5
4028,Tank Top,41.0,4/5/2023,Credit Card,2 to 3
3960,Loafers,126.0,3/7/2023,Credit Card,3 to 4
4066,Hat,,1/20/2023,Credit Card,4 to 5
4020,Backpack,173.0,8/24/2023,Cash,2 to 3
4020,Poncho,15.0,3/14/2023,Credit Card,0 to 1
4040,Pajamas,,4/11/2023,Credit Card,No Rating
4068,Jumpsuit,42.0,11/12/2022,Cash,4 to 5
4105,Tank Top,62.0,7/28/2023,Credit Card,4 to 5
4013,Wallet,,4/20/2023,Credit Card,No Rating
4108,Wallet,63.0,12/27/2022,Credit Card,1 to 2
3995,Hoodie,69.0,7/13/2023,Credit Card,1 to 2
4103,Jumpsuit,47.0,12/22/2022,Credit Card,3 to 4
3958,Overalls,162.0,12/29/2022,Cash,1 to 2
4063,Backpack,,1/3/2023,Credit Card,3 to 4
3968,Pajamas,47.0,3/30/2023,Credit Card,2 to 3
3967,Sneakers,148.0,10/6/2022,Credit Card,4 to 5
4077,Handbag,54.0,11/25/2022,Credit Card,3 to 4
4086,Backpack,,7/2/2023,Cash,3 to 4
3965,Bowtie,43.0,1/3/2023,Credit Card,1 to 2
4065,Swimsuit,,3/31/2023,Cash,1 to 2
4092,T-shirt,70.0,9/6/2023,Credit Card,3 to 4
4057,Shorts,14.0,8/23/2023,Cash,1 to 2
4079,Shorts,,4/27/2023,Credit Card,2 to 3
3982,Hoodie,,12/27/2022,Cash,4 to 5
4072,Shorts,144.0,3/4/2023,Credit Card,1 to 2
4083,Kimono,,5/18/2023,Credit Card,1 to 2
4018,Backpack,,12/29/2022,Cash,2 to 3
3978,Wallet,102.0,7/11/2023,Credit Card,1 to 2
4099,Trench Coat,37.0,4/30/2023,Cash,2 to 3
3960,Gloves,66.0,1/6/2023,Cash,3 to 4
4061,Jeans,21.0,7/30/2023,Credit Card,3 to 4
4012,Slippers,178.0,2/7/2023,Cash,1 to 2
3990,Sunglasses,127.0,1/2/2023,Cash,1 to 2
4048,Sunglasses,17.0,8/28/2023,Cash,2 to 3
4032,Onesie,,10/8/2022,Credit Card,4 to 5
4018,Sneakers,112.0,11/17/2022,Credit Card,3 to 4
4122,Tank Top,37.0,12/27/2022,Cash,2 to 3
3980,Poncho,123.0,12/24/2022,Credit Card,3 to 4
3961,Skirt,,2/4/2023,Credit Card,1 to 2
4079,Slippers,,2/19/2023,Cash,2 to 3
4035,Hat,26.0,11/15/2022,Credit Card,1 to 2
3998,Pajamas,,2/26/2023,Cash,2 to 3
4074,Onesie,159.0,7/20/2023,Credit Card,1 to 2
4103,Backpack,93.0,7/22/2023,Credit Card,3 to 4
4106,Tank Top,162.0,12/30/2022,Cash,2 to 3
3963,Belt,126.0,8/2/2023,Credit Card,1 to 2
4073,Blazer,120.0,10/7/2022,Cash,1 to 2
4075,Sunglasses,,10/8/2022,Credit Card,2 to 3
3992,Blouse,177.0,8/8/2023,Cash,4 to 5
4060,Skirt,151.0,9/26/2023,Cash,1 to 2
4004,Leggings,65.0,9/2/2023,Cash,1 to 2
4051,Jacket,68.0,5/3/2023,Credit Card,1 to 2
4117,Romper,126.0,4/21/2023,Credit Card,2 to 3
4075,Polo Shirt,196.0,12/28/2022,Credit Card,1 to 2
4119,Hat,,9/22/2023,Credit Card,4 to 5
3957,Vest,180.0,5/17/2023,Cash,3 to 4
4117,Tank Top,49.0,10/22/2022,Credit Card,2 to 3
3975,Jeans,131.0,12/9/2022,Credit Card,4 to 5
4055,Vest,,4/29/2023,Credit Card,4 to 5
4042,Sun Hat,33.0,4/24/2023,Credit Card,3 to 4
4092,Polo Shirt,200.0,10/2/2022,Credit Card,1 to 2
3965,Flannel Shirt,43.0,2/13/2023,Cash,2 to 3
4032,Kimono,160.0,3/26/2023,Credit Card,No Rating
4066,Jacket,153.0,10/28/2022,Credit Card,1 to 2
4026,Flannel Shirt,41.0,7/26/2023,Credit Card,3 to 4
4113,Slippers,180.0,4/4/2023,Credit Card,4 to 5
4095,Polo Shirt,118.0,5/10/2023,Credit Card,1 to 2
4104,Romper,194.0,1/9/2023,Cash,1 to 2
4010,Backpack,,1/4/2023,Credit Card,3 to 4
3977,Shorts,89.0,11/5/2022,Cash,3 to 4
4115,Tunic,157.0,6/3/2023,Cash,3 to 4
4042,Tunic,49.0,2/24/2023,Cash,1 to 2
3971,Scarf,67.0,8/29/2023,Cash,3 to 4
4088,Wallet,99.0,10/22/2022,Credit Card,No Rating
4050,Shorts,104.0,10/11/2022,Credit Card,4 to 5
3970,Hat,,1/28/2023,Credit Card,No Rating
3985,Loafers,67.0,8/12/2023,Credit Card,3 to 4
4055,Tank Top,153.0,11/9/2022,Cash,No Rating
4050,Hat,169.0,10/27/2022,Cash,3 to 4
4076,T-shirt,174.0,11/14/2022,Credit Card,2 to 3
4115,Sun Hat,165.0,7/23/2023,Credit Card,4 to 5
3967,Bowtie,187.0,1/22/2023,Credit Card,3 to 4
4050,Leggings,56.0,2/4/2023,Credit Card,1 to 2
4050,Shorts,89.0,4/9/2023,Credit Card,No Rating
4001,Dress,99.0,1/12/2023,Credit Card,3 to 4
4122,Blouse,,7/4/2023,Credit Card,2 to 3
4100,Sunglasses,154.0,8/15/2023,Credit Card,3 to 4
3974,Scarf,27.0,12/31/2022,Cash,1 to 2
4100,Backpack,,12/9/2022,Credit Card,4 to 5
4009,Coat,17.0,12/23/2022,Credit Card,4 to 5
3992,Hoodie,,3/3/2023,Credit Card,2 to 3
4042,Sun Hat,106.0,5/27/2023,Credit Card,No Rating
4018,Sandals,97.0,11/18/2022,Cash,3 to 4
4095,Tunic,,11/15/2022,Cash,1 to 2
3986,Dress,93.0,8/1/2023,Cash,3 to 4
4079,Hoodie,155.0,1/23/2023,Credit Card,2 to 3
4105,Shorts,23.0,4/15/2023,Credit Card,1 to 2
4010,Trench Coat,,10/4/2022,Credit Card,3 to 4
4014,Blazer,22.0,9/22/2023,Cash,2 to 3
4039,Swimsuit,79.0,10/25/2022,Credit Card,4 to 5
4047,Polo Shirt,118.0,5/4/2023,Credit Card,2 to 3
4025,Coat,123.0,10/12/2022,Credit Card,2 to 3
4085,Belt,65.0,6/29/2023,Credit Card,1 to 2
4065,Wallet,39.0,12/14/2022,Cash,2 to 3
4027,T-shirt,38.0,5/26/2023,Cash,2 to 3
3970,Boots,183.0,6/7/2023,Credit Card,3 to 4
3973,Blazer,144.0,9/4/2023,Cash,4 to 5
4052,Dress,21.0,10/21/2022,Cash,1 to 2
4045,Flannel Shirt,163.0,3/15/2023,Cash,2 to 3
4072,Cardigan,,4/24/2023,Credit Card,1 to 2
4081,Wallet,64.0,2/22/2023,Credit Card,3 to 4
4085,Polo Shirt,75.0,4/24/2023,Credit Card,1 to 2
4091,Bowtie,40.0,11/27/2022,Cash,4 to 5
3988,Blouse,,9/17/2023,Credit Card,4 to 5
4077,Sunglasses,54.0,5/4/2023,Cash,1 to 2
4093,Kimono,,10/30/2022,Cash,4 to 5
4093,Tank Top,68.0,6/1/2023,Cash,4 to 5
4031,Leggings,181.0,5/13/2023,Cash,2 to 3
4072,Flannel Shirt,28.0,12/7/2022,Cash,2 to 3
4115,Raincoat,199.0,4/20/2023,Credit Card,2 to 3
4051,Loafers,,2/23/2023,Credit Card,2 to 3
3973,Polo Shirt,,1/21/2023,Credit Card,3 to 4
4005,Trench Coat,90.0,9/29/2023,Credit Card,2 to 3
4074,Scarf,156.0,6/28/2023,Credit Card,2 to 3
3979,Tank Top,173.0,4/1/2023,Credit Card,2 to 3
3977,Skirt,39.0,10/7/2022,Credit Card,2 to 3
4057,Wallet,93.0,10/9/2022,Cash,4 to 5
4002,Dress,,7/22/2023,Credit Card,1 to 2
4030,Boots,127.0,3/17/2023,Cash,1 to 2
3976,Dress,102.0,1/26/2023,Cash,2 to 3
3984,Socks,,5/27/2023,Cash,2 to 3
3999,Pants,72.0,12/29/2022,Credit Card,2 to 3
4027,Blazer,112.0,1/12/2023,Credit Card,1 to 2
3985,Scarf,111.0,2/17/2023,Credit Card,2 to 3
3994,Blouse,200.0,5/6/2023,Credit Card,1 to 2
4084,Loafers,95.0,11/17/2022,Credit Card,2 to 3
3995,Sun Hat,29.0,5/17/2023,Cash,3 to 4
4009,Scarf,39.0,5/7/2023,Credit Card,4 to 5
4090,Slippers,59.0,9/4/2023,Cash,No Rating
4117,Raincoat,99.0,12/16/2022,Credit Card,3 to 4
3962,Sneakers,175.0,1/24/2023,Cash,2 to 3
4032,Blouse,70.0,9/11/2023,Cash,3 to 4
4063,Camisole,,11/27/2022,Credit Card,1 to 2
4095,Flip-Flops,54.0,1/15/2023,Credit Card,2 to 3
3990,Belt,177.0,1/11/2023,Credit Card,4 to 5
4078,Jacket,,4/30/2023,Credit Card,1 to 2
4045,Sun Hat,170.0,11/29/2022,Credit Card,2 to 3
4064,Sandals,154.0,10/8/2022,Cash,2 to 3
4070,Sandals,124.0,8/27/2023,Cash,1 to 2
4122,Pajamas,154.0,8/14/2023,Credit Card,1 to 2
3962,Backpack,169.0,2/11/2023,Credit Card,No Rating
4031,Coat,170.0,2/23/2023,Cash,3 to 4
4005,Vest,122.0,10/1/2023,Cash,1 to 2
3973,Overalls,,11/18/2022,Cash,2 to 3
3962,Hoodie,87.0,5/12/2023,Cash,No Rating
4016,Sandals,161.0,3/4/2023,Cash,1 to 2
4090,Umbrella,,12/11/2022,Cash,3 to 4
4122,Belt,89.0,1/12/2023,Credit Card,4 to 5
4042,Tank Top,19.0,11/21/2022,Cash,2 to 3
4062,Pants,,4/19/2023,Credit Card,1 to 2
4105,Polo Shirt,29.0,3/29/2023,Cash,2 to 3
4044,Scarf,33.0,2/20/2023,Credit Card,3 to 4
4122,Jacket,139.0,2/26/2023,Credit Card,1 to 2
4040,Handbag,158.0,11/30/2022,Cash,1 to 2
4081,Camisole,199.0,1/10/2023,Cash,2 to 3
4108,Sneakers,125.0,5/25/2023,Cash,2 to 3
4092,Handbag,156.0,1/1/2023,Credit Card,No Rating
4097,Tank Top,92.0,5/27/2023,Cash,4 to 5
4070,Backpack,138.0,5/30/2023,Cash,1 to 2
4074,Socks,,9/4/2023,Cash,1 to 2
4034,Romper,,4/18/2023,Cash,4 to 5
4102,Swimsuit,,6/26/2023,Credit Card,2 to 3
3990,Sunglasses,97.0,4/5/2023,Cash,3 to 4
4035,Wallet,31.0,6/3/2023,Cash,3 to 4
4000,Backpack,54.0,5/5/2023,Cash,4 to 5
4023,Trench Coat,,10/18/2022,Credit Card,4 to 5
4015,Loafers,122.0,5/6/2023,Cash,1 to 2
4080,Coat,166.0,9/21/2023,Credit Card,3 to 4
4052,Tie,,1/16/2023,Credit Card,3 to 4
4030,Pants,82.0,2/7/2023,Cash,2 to 3
3969,Leggings,96.0,8/7/2023,Cash,2 to 3
3994,Belt,23.0,2/28/2023,Credit Card,3 to 4
4047,Pajamas,175.0,1/2/2023,Cash,1 to 2
4029,Jeans,94.0,8/17/2023,Cash,2 to 3
4073,Loafers,,10/25/2022,Credit Card,3 to 4
3999,Boots,82.0,2/21/2023,Cash,2 to 3
4115,Jacket,178.0,5/9/2023,Credit Card,No Rating
3998,Sneakers,164.0,11/6/2022,Credit Card,0 to 1
4094,Shorts,95.0,6/1/2023,Credit Card,1 to 2
4030,Polo Shirt,,3/18/2023,Cash,2 to 3
4003,Shorts,99.0,3/25/2023,Credit Card,1 to 2
4001,Umbrella,177.0,11/22/2022,Cash,2 to 3
3996,Sun Hat,110.0,6/20/2023,Credit Card,3 to 4
3998,Tie,,7/10/2023,Credit Card,3 to 4
4017,Jacket,31.0,5/15/2023,Cash,4 to 5
3986,Trousers,106.0,10/12/2022,Credit Card,1 to 2
3967,Handbag,94.0,11/15/2022,Cash,1 to 2
4038,Hoodie,181.0,6/12/2023,Credit Card,1 to 2
4104,Swimsuit,199.0,8/15/2023,Cash,4 to 5
3989,Trousers,144.0,8/13/2023,Credit Card,3 to 4
4069,Jumpsuit,,7/18/2023,Cash,2 to 3
4023,Sneakers,140.0,1/6/2023,Cash,1 to 2
4051,Pants,102.0,12/29/2022,Cash,2 to 3
4004,Gloves,64.0,3/4/2023,Credit Card,2 to 3
4009,Sneakers,134.0,9/24/2023,Credit Card,1 to 2
4100,T-shirt,,1/3/2023,Credit Card,1 to 2
3965,Skirt,49.0,10/23/2022,Cash,2 to 3
4038,Pajamas,,12/27/2022,Credit Card,2 to 3
4045,Gloves,35.0,2/25/2023,Cash,3 to 4
3994,Pajamas,148.0,7/15/2023,Credit Card,2 to 3
4052,Skirt,144.0,1/22/2023,Credit Card,2 to 3
4071,Shorts,,5/17/2023,Cash,2 to 3
4095,Hat,168.0,3/8/2023,Credit Card,1 to 2
3998,Flannel Shirt,,2/15/2023,Cash,4 to 5
4093,Camisole,51.0,2/15/2023,Cash,1 to 2
4034,Blazer,,11/10/2022,Credit Card,1 to 2
3988,Slippers,169.0,6/13/2023,Credit Card,3 to 4
3963,Kimono,52.0,12/27/2022,Cash,2 to 3
4060,Skirt,21.0,1/22/2023,Credit Card,4 to 5
4084,Flannel Shirt,183.0,2/16/2023,Credit Card,2 to 3
3994,Raincoat,123.0,3/27/2023,Cash,1 to 2
4074,Tank Top,124.0,5/9/2023,Cash,0 to 1
4038,Sunglasses,71.0,3/22/2023,Credit Card,2 to 3
3996,Cardigan,130.0,1/10/2023,Cash,2 to 3
3958,Sun Hat,59.0,6/15/2023,Credit Card,4 to 5
4096,Sneakers,156.0,4/19/2023,Cash,4 to 5
4086,Loafers,128.0,7/22/2023,Credit Card,4 to 5
4041,Skirt,107.0,2/9/2023,Credit Card,No Rating
4122,Sweater,117.0,5/19/2023,Credit Card,2 to 3
4032,Coat,61.0,7/20/2023,Cash,4 to 5
4078,Leggings,45.0,10/7/2022,Credit Card,3 to 4
4031,Tunic,23.0,12/25/2022,Credit Card,1 to 2
4103,Pajamas,105.0,4/3/2023,Credit Card,3 to 4
3994,Hat,36.0,3/1/2023,Credit Card,1 to 2
4101,Raincoat,142.0,7/3/2023,Credit Card,3 to 4
4070,Poncho,82.0,4/9/2023,Cash,No Rating
4043,Umbrella,,1/25/2023,Cash,4 to 5
3985,Polo Shirt,,4/13/2023,Cash,2 to 3
4079,Sun Hat,141.0,12/11/2022,Credit Card,1 to 2
3967,Loafers,,5/4/2023,Cash,4 to 5
3992,Vest,66.0,7/15/2023,Cash,3 to 4
4098,Onesie,99.0,7/19/2023,Cash,1 to 2
3986,Slippers,116.0,10/23/2022,Cash,1 to 2
4035,Blouse,,2/22/2023,Cash,2 to 3
3963,Sandals,70.0,9/19/2023,Cash,3 to 4
4059,T-shirt,30.0,5/29/2023,Cash,2 to 3
4115,Umbrella,17.0,12/29/2022,Cash,4 to 5
4013,Trench Coat,35.0,1/11/2023,Cash,4 to 5
4071,Romper,176.0,6/23/2023,Cash,No Rating
4048,Pants,47.0,5/12/2023,Cash,4 to 5
3980,Wallet,,9/28/2023,Cash,No Rating
4040,Blouse,130.0,2/15/2023,Credit Card,3 to 4
3971,Pants,45.0,11/3/2022,Cash,1 to 2
4112,Pajamas,130.0,9/1/2023,Credit Card,No Rating
4121,Sunglasses,11.0,10/8/2022,Cash,1 to 2
4006,Poncho,14.0,10/3/2022,Cash,1 to 2
4106,Sneakers,48.0,8/2/2023,Cash,4 to 5
4091,Sweater,196.0,3/24/2023,Cash,3 to 4
4013,Camisole,118.0,1/26/2023,Cash,3 to 4
4028,Handbag,,6/15/2023,Cash,2 to 3
4007,Swimsuit,87.0,3/23/2023,Cash,4 to 5
3962,Romper,,8/18/2023,Credit Card,3 to 4
